<Header>
User name:  user_name
Location:  sample_location
Model: MINI-WRAS
Serial No.: 71-15-01
Software revision:  V8-1 Rev II (2017 Sept 26)
Unit: [1/cm3] 
Comment:  
online data
<Data>
[d&t31/12/2035 11:50:55]	PM10	PM2.5	PM1	Inhalable	Thoracic	Alveolic
19/07/2023 11:44:37	4681.8	811.0	104.4	9857.1	4786.5	2159.2
19/07/2023 11:45:37	4543.0	801.0	104.1	13180.4	4704.8	2123.3
19/07/2023 11:46:37	4514.0	774.5	100.3	8917.1	4606.9	2071.6
19/07/2023 11:48:37	3949.1	737.3	95.0	8296.2	4043.5	1892.9
19/07/2023 11:49:37	4442.3	871.1	104.0	11659.1	4619.2	2149.9
19/07/2023 11:50:37	6332.7	1015.1	117.1	18145.3	6664.1	2797.4
19/07/2023 11:51:37	3608.8	682.8	91.2	8577.1	3678.3	1749.9
19/07/2023 11:52:37	3524.3	675.9	88.8	7812.3	3579.8	1705.7
19/07/2023 11:53:37	3489.1	689.6	94.2	12192.8	3611.7	1730.5
19/07/2023 11:54:37	3714.2	702.8	92.3	9742.4	3811.8	1781.1
19/07/2023 11:55:37	3551.3	664.2	88.5	9005.0	3694.4	1704.6
19/07/2023 11:56:37	3564.9	668.8	88.5	7538.1	3653.8	1712.5
19/07/2023 11:57:37	3429.5	671.6	89.7	6424.1	3485.1	1688.4
19/07/2023 11:58:37	3263.1	645.2	87.4	7156.8	3349.2	1610.8
19/07/2023 11:59:37	3549.1	686.0	92.8	7495.2	3623.6	1730.3
19/07/2023 12:00:37	3585.4	665.1	90.2	8011.0	3666.2	1698.2
19/07/2023 12:01:37	3356.4	661.3	90.9	7057.0	3481.6	1644.8
19/07/2023 12:02:37	3318.2	642.4	88.6	7716.6	3396.5	1615.0
19/07/2023 12:03:37	3649.7	666.6	91.0	14329.7	3854.5	1695.0
19/07/2023 12:04:37	3340.1	633.3	88.4	9072.3	3460.4	1610.8
19/07/2023 12:05:37	3368.9	641.9	88.1	7010.2	3465.2	1620.4
19/07/2023 12:06:37	3302.6	633.3	86.1	7677.9	3365.9	1610.3
19/07/2023 12:08:37	3308.2	609.0	84.2	8948.8	3416.6	1560.7
19/07/2023 12:09:37	3326.1	597.0	81.8	7259.2	3402.0	1557.5
19/07/2023 12:10:37	3201.3	595.0	80.8	6545.6	3295.8	1526.7
19/07/2023 12:11:37	3191.3	592.7	80.0	7187.8	3294.9	1519.1
19/07/2023 12:12:37	2955.3	552.0	76.1	6879.1	3049.8	1416.0
19/07/2023 12:13:37	2950.2	544.9	74.4	5881.1	3013.6	1392.7
19/07/2023 12:14:37	4237.8	664.5	82.0	22654.8	4688.8	1766.4
19/07/2023 12:15:37	4121.4	590.4	78.9	23537.3	4612.9	1636.1
19/07/2023 12:16:37	2610.0	504.9	69.6	5256.2	2652.4	1260.8
19/07/2023 12:17:37	2589.5	504.1	69.0	4816.5	2640.0	1279.8
19/07/2023 12:18:37	2529.8	499.7	67.7	4849.3	2544.8	1256.1
